id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,distress_rank,exclude,population_score
40706,77474,15146,14.40,75272.00,0.97,3.80,20.70,10.80,17.70,10.80,79.10,2.90,41.82,82,2,3.83
40707,77476,423,,,,,,,,,,,,,0,
40708,77477,33752,11.60,75744.00,0.98,6.30,18.10,13.60,15.80,5.40,36.70,6.10,48.49,110,2,18.15
40709,77478,23182,5.20,118495.00,1.53,2.80,6.00,4.70,5.00,2.50,75.70,3.50,19.50,14,2,10.01
40710,77479,92221,4.70,156735.00,2.03,4.80,7.20,3.00,4.50,3.90,82.70,2.00,14.72,7,2,63.12
40711,77480,7626,7.60,73022.00,0.95,2.80,12.10,4.80,10.10,13.40,78.70,1.60,,,1,
40712,77481,78,1.30,57857.00,0.75,26.10,7.70,18.20,0.00,13.70,100.00,0.00,,,1,
40713,77483,257,0.00,31761.00,0.41,0.00,56.40,47.80,21.80,22.20,100.00,0.00,,,1,
40714,77484,14348,14.00,81250.00,1.05,7.40,17.00,13.30,16.20,9.10,73.60,4.90,45.28,95,2,3.22
40715,77485,4378,21.30,51742.00,0.67,11.60,21.10,17.20,15.10,12.60,77.80,4.00,,,1,
40716,77486,7195,9.00,74857.00,0.97,5.00,16.50,5.00,9.10,14.50,77.80,3.20,,,1,
40717,77488,14548,10.90,60327.00,0.78,4.60,15.30,11.70,10.90,11.10,67.60,11.60,46.45,98,2,3.37
40718,77489,39292,7.90,74689.00,0.97,5.30,14.70,11.40,12.00,4.10,77.10,2.10,34.10,60,2,22.41
40719,77493,71484,10.00,118464.00,1.53,5.60,11.10,5.60,8.70,7.60,79.60,3.20,28.34,43,2,47.17
40720,77494,140157,5.70,148720.00,1.93,4.40,6.20,4.10,3.80,5.40,70.90,3.90,18.81,12,2,100.00
40721,77498,52806,7.80,100950.00,1.31,6.80,17.40,6.00,10.60,5.80,70.60,3.10,33.32,59,2,32.80
40722,77502,36371,25.60,62500.00,0.81,9.20,29.80,24.90,35.10,6.10,63.40,8.90,73.50,164,2,20.16
40723,77503,23866,14.40,66797.00,0.87,7.50,29.80,21.60,29.30,7.80,53.20,5.40,60.13,136,2,10.54
40724,77504,25779,19.60,51478.00,0.67,9.00,26.70,22.90,20.00,9.80,42.00,7.10,66.04,147,2,12.01
40725,77505,23174,11.80,98125.00,1.27,4.60,12.20,9.70,9.90,6.00,69.10,3.80,34.13,61,2,10.01
40726,77506,35114,25.10,49586.00,0.64,11.40,43.70,28.60,41.40,10.70,40.90,6.40,85.39,181,2,19.19
40727,77507,567,0.00,77371.00,1.00,0.00,16.90,0.00,0.00,6.10,0.00,5.30,,,1,
40728,77510,14155,10.30,102651.00,1.33,7.90,16.00,8.60,9.60,6.70,86.30,2.30,33.29,58,2,3.07
40729,77511,51892,9.60,74939.00,0.97,4.50,18.50,14.20,17.00,13.30,71.30,4.70,42.05,84,2,32.10
40730,77515,34088,10.80,88787.00,1.15,3.80,14.30,9.00,11.90,8.70,74.60,3.80,34.60,62,2,18.40
40731,77517,5529,5.80,88567.00,1.15,15.30,12.60,16.60,11.20,5.00,84.40,2.70,,,1,
40732,77518,9541,28.90,51458.00,0.67,7.40,28.70,23.60,20.20,9.30,61.80,4.40,,,1,
40733,77520,36355,20.20,54278.00,0.70,11.10,29.80,23.60,24.70,11.90,52.20,10.90,72.69,161,2,20.15
40734,77521,69038,15.40,73629.00,0.95,9.70,24.90,11.40,18.10,6.00,58.20,6.20,54.13,121,2,45.29
40735,77530,31527,17.90,62195.00,0.81,8.10,29.80,23.20,29.70,9.80,69.80,4.40,61.53,140,2,16.43
40736,77531,16406,8.40,73240.00,0.95,8.20,19.20,12.50,15.30,13.50,52.30,5.60,47.27,102,2,4.80
40737,77532,33780,13.00,92201.00,1.19,7.30,18.20,8.50,11.20,12.00,86.10,4.00,38.98,75,2,18.17
40738,77533,1016,14.50,65557.00,0.85,4.70,24.20,25.90,10.70,14.80,72.30,2.80,,,1,
40739,77534,3403,7.00,105741.00,1.37,6.20,9.20,2.40,11.90,15.10,83.10,0.70,,,1,
40740,77535,39504,14.70,84497.00,1.09,7.80,15.50,13.20,16.20,9.80,83.80,4.70,43.97,91,2,22.57
40741,77536,33174,7.90,102045.00,1.32,5.70,12.90,8.50,10.00,5.40,80.00,3.20,30.17,47,2,17.70
40742,77539,49375,10.40,89111.00,1.15,5.80,19.20,10.60,16.60,6.40,75.70,4.00,39.23,76,2,30.16
40743,77541,16996,12.20,66507.00,0.86,5.70,24.60,13.20,16.10,31.80,69.20,4.10,49.78,111,2,5.26
40744,77545,26236,8.40,94474.00,1.22,4.10,19.10,8.20,13.50,6.70,79.30,2.20,32.26,53,2,12.36
40745,77546,54789,3.50,123756.00,1.60,4.40,6.70,5.20,5.10,3.70,76.00,5.10,21.03,25,2,34.33
40746,77547,9217,20.40,50991.00,0.66,15.50,31.50,23.80,35.40,8.70,70.80,2.40,,,1,
40747,77550,23489,26.90,45047.00,0.58,7.10,17.70,17.00,11.80,26.30,40.00,14.90,71.77,160,2,10.25
40748,77551,21696,18.40,58344.00,0.76,4.50,19.60,11.90,14.90,19.50,48.20,8.20,55.33,123,2,8.87
40749,77554,10414,10.30,86490.00,1.12,5.60,5.30,1.40,2.80,51.60,68.80,3.30,35.79,64,2,0.19
40750,77555,2,,,,,,,,,,,,,0,
40751,77562,8914,10.40,57364.00,0.74,9.30,24.60,13.90,19.10,16.70,80.50,4.50,,,1,
40752,77563,9955,14.90,75806.00,0.98,9.60,16.90,13.30,11.90,12.40,73.10,3.60,,,1,
40753,77565,6943,16.20,95268.00,1.23,3.50,17.70,6.50,6.80,9.50,49.80,2.90,,,1,
40754,77566,30246,11.00,92586.00,1.20,7.50,13.40,7.10,7.00,6.70,64.60,3.70,36.30,67,2,15.45
40755,77568,23083,14.20,74694.00,0.97,6.10,14.00,14.50,12.40,7.60,72.00,5.60,43.57,88,2,9.94
40756,77571,38543,11.90,81850.00,1.06,5.30,14.70,10.80,11.30,3.30,72.10,5.80,38.88,73,2,21.83
40757,77573,98109,5.10,122722.00,1.59,4.30,7.60,4.20,4.20,4.40,75.80,2.50,19.97,16,2,67.65
40758,77575,16613,19.00,57056.00,0.74,7.10,24.30,20.60,23.80,16.60,73.90,4.70,58.46,130,2,4.96
40759,77578,30210,6.00,134016.00,1.74,5.00,8.30,4.80,8.60,6.70,83.10,1.50,20.46,19,2,15.42
40760,77581,51332,4.50,111139.00,1.44,3.60,9.00,4.40,6.90,4.20,77.10,1.80,20.85,23,2,31.67
40761,77583,52747,6.00,119287.00,1.54,4.90,13.90,8.00,14.40,10.10,90.20,2.10,26.48,33,2,32.76
40762,77584,91065,4.30,121872.00,1.58,3.80,6.90,5.50,6.20,6.80,73.70,2.60,20.57,20,2,62.23
40763,77586,23807,5.20,114057.00,1.48,7.50,8.70,2.20,6.80,5.70,74.30,0.90,23.91,30,2,10.50
40764,77587,16033,26.10,53497.00,0.69,8.30,28.40,20.10,41.60,8.90,55.40,2.60,71.22,157,2,4.51
40765,77590,31642,17.30,65801.00,0.85,7.50,20.10,18.10,17.20,7.50,52.40,7.00,55.71,124,2,16.52
40766,77591,18294,16.80,68593.00,0.89,4.80,11.90,17.00,9.00,8.60,55.40,7.10,47.00,100,2,6.25
