id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,rank,exclude
9531,77423,16689,11.90,82280.00,1.09,4.40,21.40,10.00,18.30,9.60,79.80,1.10,37.90,74,2
9532,77426,2193,8.70,78229.00,1.04,4.70,15.00,5.70,22.80,9.20,71.60,3.80,,,1
9533,77428,126,,,,,,,,,,,,,0
9534,77429,95938,4.70,117931.00,1.57,5.10,8.00,3.30,6.60,2.70,82.10,1.30,19.80,19,2
9535,77430,1916,6.10,94583.00,1.26,8.60,7.70,2.50,18.80,6.90,90.90,1.20,,,1
9536,77433,112211,6.20,137348.00,1.83,4.80,10.80,4.20,5.30,2.80,80.10,2.00,19.66,17,2
9537,77435,4376,5.40,63702.00,0.85,5.40,20.10,9.50,15.20,7.10,85.30,3.10,,,1
9538,77441,32905,3.40,177591.00,2.36,4.10,3.50,4.60,2.60,4.80,92.70,0.00,7.12,2,2
9539,77444,793,,,,,,,,,,,,,0
9540,77445,14943,12.30,63650.00,0.85,5.90,21.10,15.30,16.20,12.50,60.50,4.50,47.96,110,2
9541,77446,6060,44.80,19262.00,0.26,20.00,21.00,22.00,16.10,18.20,16.20,0.00,,,1
